sample_index,prediction
189.0,low_pain
190.0,low_pain
191.0,low_pain
192.0,low_pain
193.0,low_pain
194.0,low_pain
195.0,low_pain
196.0,low_pain
197.0,low_pain
198.0,low_pain
199.0,low_pain
200.0,low_pain
201.0,low_pain
202.0,low_pain
203.0,low_pain
204.0,low_pain
205.0,low_pain
206.0,low_pain
207.0,low_pain
208.0,low_pain
209.0,low_pain
210.0,low_pain
211.0,low_pain
212.0,low_pain
213.0,low_pain
214.0,low_pain
215.0,low_pain
216.0,low_pain
217.0,low_pain
218.0,low_pain
219.0,low_pain
220.0,low_pain
221.0,low_pain
222.0,low_pain
223.0,low_pain
224.0,low_pain
225.0,low_pain
226.0,low_pain
227.0,low_pain
228.0,low_pain
229.0,low_pain
230.0,low_pain
231.0,low_pain
232.0,low_pain
233.0,low_pain
234.0,low_pain
235.0,low_pain
236.0,low_pain
237.0,low_pain
238.0,low_pain
239.0,low_pain
240.0,low_pain
241.0,low_pain
242.0,low_pain
243.0,low_pain
244.0,low_pain
245.0,low_pain
246.0,low_pain
247.0,low_pain
248.0,low_pain
249.0,low_pain
250.0,low_pain
251.0,low_pain
252.0,low_pain
253.0,low_pain
254.0,low_pain
255.0,low_pain
256.0,low_pain
257.0,low_pain
258.0,low_pain
259.0,low_pain
260.0,low_pain
261.0,low_pain
262.0,low_pain
263.0,low_pain
264.0,low_pain
265.0,low_pain
266.0,low_pain
267.0,low_pain
268.0,low_pain
269.0,low_pain
270.0,low_pain
271.0,low_pain
272.0,low_pain
273.0,low_pain
274.0,low_pain
275.0,low_pain
276.0,low_pain
277.0,low_pain
278.0,low_pain
279.0,low_pain
280.0,low_pain
281.0,low_pain
282.0,low_pain
283.0,low_pain
284.0,low_pain
285.0,low_pain
286.0,low_pain
287.0,low_pain
288.0,low_pain
289.0,low_pain
290.0,low_pain
291.0,low_pain
292.0,low_pain
293.0,low_pain
294.0,low_pain
295.0,low_pain
296.0,low_pain
297.0,low_pain
298.0,low_pain
299.0,low_pain
300.0,low_pain
301.0,low_pain
302.0,low_pain
303.0,low_pain
304.0,low_pain
305.0,low_pain
306.0,low_pain
307.0,low_pain
308.0,low_pain
309.0,low_pain
310.0,low_pain
311.0,low_pain
312.0,low_pain
313.0,low_pain
314.0,low_pain
315.0,low_pain
316.0,low_pain
317.0,low_pain
318.0,low_pain
319.0,low_pain
320.0,low_pain
321.0,low_pain
322.0,low_pain
323.0,low_pain
324.0,low_pain
325.0,low_pain
326.0,low_pain
327.0,low_pain
328.0,low_pain
329.0,low_pain
330.0,low_pain
331.0,low_pain
332.0,low_pain
333.0,low_pain
334.0,low_pain
335.0,low_pain
336.0,low_pain
337.0,low_pain
338.0,low_pain
339.0,low_pain
340.0,low_pain
341.0,low_pain
342.0,low_pain
343.0,low_pain
344.0,low_pain
345.0,low_pain
346.0,low_pain
347.0,low_pain
348.0,low_pain
349.0,low_pain
350.0,low_pain
351.0,low_pain
352.0,low_pain
353.0,low_pain
354.0,low_pain
355.0,low_pain
356.0,low_pain
357.0,low_pain
358.0,low_pain
359.0,low_pain
360.0,low_pain
361.0,low_pain
362.0,low_pain
363.0,low_pain
364.0,low_pain
365.0,low_pain
366.0,low_pain
367.0,low_pain
368.0,low_pain
369.0,low_pain
370.0,low_pain
371.0,low_pain
372.0,low_pain
373.0,low_pain
374.0,low_pain
375.0,low_pain
376.0,low_pain
377.0,low_pain
378.0,low_pain
379.0,low_pain
380.0,low_pain
381.0,low_pain
382.0,low_pain
383.0,low_pain
384.0,low_pain
385.0,low_pain
386.0,low_pain
387.0,low_pain
388.0,low_pain
389.0,low_pain
390.0,low_pain
391.0,low_pain
392.0,low_pain
393.0,low_pain
394.0,low_pain
395.0,low_pain
396.0,low_pain
397.0,low_pain
398.0,low_pain
399.0,low_pain
400.0,low_pain
401.0,low_pain
402.0,low_pain
403.0,low_pain
404.0,low_pain
405.0,low_pain
406.0,low_pain
407.0,low_pain
408.0,low_pain
409.0,low_pain
410.0,low_pain
411.0,low_pain
412.0,low_pain
413.0,low_pain
414.0,low_pain
415.0,low_pain
416.0,low_pain
417.0,low_pain
418.0,low_pain
419.0,low_pain
420.0,low_pain
421.0,low_pain
422.0,low_pain
423.0,low_pain
424.0,low_pain
425.0,low_pain
426.0,low_pain
427.0,low_pain
428.0,low_pain
429.0,low_pain
430.0,low_pain
431.0,low_pain
432.0,low_pain
433.0,low_pain
434.0,low_pain
435.0,low_pain
436.0,low_pain
437.0,low_pain
438.0,low_pain
439.0,low_pain
440.0,low_pain
441.0,low_pain
442.0,low_pain
443.0,low_pain
444.0,low_pain
445.0,low_pain
446.0,low_pain
447.0,low_pain
448.0,low_pain
449.0,low_pain
450.0,low_pain
451.0,low_pain
452.0,low_pain
453.0,low_pain
454.0,low_pain
455.0,low_pain
456.0,low_pain
457.0,low_pain
458.0,low_pain
459.0,low_pain
460.0,low_pain
461.0,low_pain
462.0,low_pain
463.0,low_pain
464.0,low_pain
465.0,low_pain
466.0,low_pain
467.0,low_pain
468.0,low_pain
469.0,low_pain
470.0,low_pain
471.0,low_pain
472.0,low_pain
473.0,low_pain
474.0,low_pain
475.0,low_pain
476.0,low_pain
477.0,low_pain
478.0,low_pain
479.0,low_pain
480.0,low_pain
481.0,low_pain
482.0,low_pain
483.0,low_pain
484.0,low_pain
485.0,low_pain
486.0,low_pain
487.0,low_pain
488.0,low_pain
489.0,low_pain
490.0,low_pain
491.0,low_pain
492.0,low_pain
493.0,low_pain
494.0,low_pain
495.0,low_pain
496.0,low_pain
497.0,low_pain
498.0,low_pain
499.0,low_pain
500.0,low_pain
501.0,low_pain
502.0,low_pain
503.0,low_pain
504.0,low_pain
505.0,low_pain
506.0,low_pain
507.0,low_pain
508.0,low_pain
509.0,low_pain
510.0,low_pain
511.0,low_pain
512.0,low_pain
513.0,low_pain
514.0,low_pain
515.0,low_pain
516.0,low_pain
517.0,low_pain
518.0,low_pain
519.0,low_pain
520.0,low_pain
521.0,low_pain
522.0,low_pain
523.0,low_pain
524.0,low_pain
525.0,low_pain
526.0,low_pain
527.0,low_pain
528.0,low_pain
529.0,low_pain
530.0,low_pain
531.0,low_pain
532.0,low_pain
533.0,low_pain
534.0,low_pain
535.0,low_pain
536.0,low_pain
537.0,low_pain
538.0,low_pain
539.0,low_pain
540.0,low_pain
541.0,low_pain
542.0,low_pain
543.0,low_pain
544.0,low_pain
545.0,low_pain
546.0,low_pain
547.0,low_pain
548.0,low_pain
549.0,low_pain
550.0,low_pain
551.0,low_pain
552.0,low_pain
553.0,low_pain
554.0,low_pain
555.0,low_pain
556.0,low_pain
557.0,low_pain
558.0,low_pain
559.0,low_pain
560.0,low_pain
561.0,low_pain
562.0,low_pain
563.0,low_pain
564.0,low_pain
565.0,low_pain
566.0,low_pain
567.0,low_pain
568.0,low_pain
569.0,low_pain
570.0,low_pain
571.0,low_pain
572.0,low_pain
573.0,low_pain
574.0,low_pain
575.0,low_pain
576.0,low_pain
577.0,low_pain
578.0,low_pain
579.0,low_pain
580.0,low_pain
581.0,low_pain
582.0,low_pain
583.0,low_pain
584.0,low_pain
585.0,low_pain
586.0,low_pain
587.0,low_pain
588.0,low_pain
589.0,low_pain
590.0,low_pain
591.0,low_pain
592.0,low_pain
593.0,low_pain
594.0,low_pain
595.0,low_pain
596.0,low_pain
597.0,low_pain
598.0,low_pain
599.0,low_pain
600.0,low_pain
601.0,low_pain
602.0,low_pain
603.0,low_pain
604.0,low_pain
605.0,low_pain
606.0,low_pain
607.0,low_pain
608.0,low_pain
609.0,low_pain
610.0,low_pain
611.0,low_pain
612.0,low_pain
613.0,low_pain
614.0,low_pain
615.0,low_pain
616.0,low_pain
617.0,low_pain
618.0,low_pain
619.0,low_pain
620.0,low_pain
621.0,low_pain
622.0,low_pain
623.0,low_pain
624.0,low_pain
625.0,low_pain
626.0,low_pain
627.0,low_pain
628.0,low_pain
629.0,low_pain
630.0,low_pain
631.0,low_pain
632.0,low_pain
633.0,low_pain
634.0,low_pain
635.0,low_pain
636.0,low_pain
637.0,low_pain
638.0,low_pain
639.0,low_pain
640.0,low_pain
641.0,low_pain
642.0,low_pain
643.0,low_pain
644.0,low_pain
645.0,low_pain
646.0,low_pain
647.0,low_pain
648.0,low_pain
649.0,low_pain
650.0,low_pain
651.0,low_pain
652.0,low_pain
653.0,low_pain
654.0,low_pain
655.0,low_pain
656.0,low_pain
657.0,low_pain
658.0,low_pain
659.0,low_pain
660.0,low_pain
661.0,low_pain
662.0,low_pain
663.0,low_pain
664.0,low_pain
665.0,low_pain
666.0,low_pain
667.0,low_pain
668.0,low_pain
669.0,low_pain
670.0,low_pain
671.0,low_pain
672.0,low_pain
673.0,low_pain
674.0,low_pain
675.0,low_pain
676.0,low_pain
677.0,low_pain
678.0,low_pain
679.0,low_pain
680.0,low_pain
681.0,low_pain
682.0,low_pain
683.0,low_pain
684.0,low_pain
685.0,low_pain
686.0,low_pain
687.0,low_pain
688.0,low_pain
689.0,low_pain
690.0,low_pain
691.0,low_pain
692.0,low_pain
693.0,low_pain
694.0,low_pain
695.0,low_pain
696.0,low_pain
697.0,low_pain
698.0,low_pain
699.0,low_pain
700.0,low_pain
701.0,low_pain
702.0,low_pain
703.0,low_pain
704.0,low_pain
705.0,low_pain
706.0,low_pain
707.0,low_pain
708.0,low_pain
709.0,low_pain
710.0,low_pain
711.0,low_pain
712.0,low_pain
713.0,low_pain
714.0,low_pain
715.0,low_pain
716.0,low_pain
717.0,low_pain
718.0,low_pain
719.0,low_pain
720.0,low_pain
721.0,low_pain
722.0,low_pain
723.0,low_pain
724.0,low_pain
725.0,low_pain
726.0,low_pain
727.0,low_pain
728.0,low_pain
729.0,low_pain
730.0,low_pain
731.0,low_pain
732.0,low_pain
733.0,low_pain
734.0,low_pain
735.0,low_pain
736.0,low_pain
737.0,low_pain
738.0,low_pain
739.0,low_pain
740.0,low_pain
741.0,low_pain
742.0,low_pain
743.0,low_pain
744.0,low_pain
745.0,low_pain
746.0,low_pain
747.0,low_pain
748.0,low_pain
749.0,low_pain
750.0,low_pain
751.0,low_pain
752.0,low_pain
753.0,low_pain
754.0,low_pain
755.0,low_pain
756.0,low_pain
757.0,low_pain
758.0,low_pain
759.0,low_pain
760.0,low_pain
761.0,low_pain
762.0,low_pain
763.0,low_pain
764.0,low_pain
765.0,low_pain
766.0,low_pain
767.0,low_pain
768.0,low_pain
769.0,low_pain
770.0,low_pain
771.0,low_pain
772.0,low_pain
773.0,low_pain
774.0,low_pain
775.0,low_pain
776.0,low_pain
777.0,low_pain
778.0,low_pain
779.0,low_pain
780.0,low_pain
781.0,low_pain
782.0,low_pain
783.0,low_pain
784.0,low_pain
785.0,low_pain
786.0,low_pain
787.0,low_pain
788.0,low_pain
789.0,low_pain
790.0,low_pain
791.0,low_pain
792.0,low_pain
793.0,low_pain
794.0,low_pain
795.0,low_pain
796.0,low_pain
797.0,low_pain
798.0,low_pain
799.0,low_pain
800.0,low_pain
801.0,low_pain
802.0,low_pain
803.0,low_pain
804.0,low_pain
805.0,low_pain
806.0,low_pain
807.0,low_pain
808.0,low_pain
809.0,low_pain
810.0,low_pain
811.0,low_pain
812.0,low_pain
813.0,low_pain
814.0,low_pain
815.0,low_pain
816.0,low_pain
817.0,low_pain
818.0,low_pain
819.0,low_pain
820.0,low_pain
821.0,low_pain
822.0,low_pain
823.0,low_pain
824.0,low_pain
825.0,low_pain
826.0,low_pain
827.0,low_pain
828.0,low_pain
829.0,low_pain
830.0,low_pain
831.0,low_pain
832.0,low_pain
833.0,low_pain
834.0,low_pain
835.0,low_pain
836.0,low_pain
837.0,low_pain
838.0,low_pain
839.0,low_pain
840.0,low_pain
841.0,low_pain
842.0,low_pain
843.0,low_pain
844.0,low_pain
845.0,low_pain
846.0,low_pain
847.0,low_pain
848.0,low_pain
849.0,low_pain
850.0,low_pain
851.0,low_pain
852.0,low_pain
853.0,low_pain
854.0,low_pain
855.0,low_pain
856.0,low_pain
857.0,low_pain
858.0,low_pain
859.0,low_pain
860.0,low_pain
861.0,low_pain
862.0,low_pain
863.0,low_pain
864.0,low_pain
865.0,low_pain
866.0,low_pain
867.0,low_pain
868.0,low_pain
869.0,low_pain
870.0,low_pain
871.0,low_pain
872.0,low_pain
873.0,low_pain
874.0,low_pain
875.0,low_pain
876.0,low_pain
877.0,low_pain
878.0,low_pain
879.0,low_pain
880.0,low_pain
881.0,low_pain
882.0,low_pain
883.0,low_pain
884.0,low_pain
885.0,low_pain
886.0,low_pain
887.0,low_pain
888.0,low_pain
889.0,low_pain
890.0,low_pain
891.0,low_pain
892.0,low_pain
893.0,low_pain
894.0,low_pain
895.0,low_pain
896.0,low_pain
897.0,low_pain
898.0,low_pain
899.0,low_pain
900.0,low_pain
901.0,low_pain
902.0,low_pain
903.0,low_pain
904.0,low_pain
905.0,low_pain
906.0,low_pain
907.0,low_pain
908.0,low_pain
909.0,low_pain
910.0,low_pain
911.0,low_pain
912.0,low_pain
913.0,low_pain
914.0,low_pain
915.0,low_pain
916.0,low_pain
917.0,low_pain
918.0,low_pain
919.0,low_pain
920.0,low_pain
921.0,low_pain
922.0,low_pain
923.0,low_pain
924.0,low_pain
925.0,low_pain
926.0,low_pain
927.0,low_pain
928.0,low_pain
929.0,low_pain
930.0,low_pain
931.0,low_pain
932.0,low_pain
933.0,low_pain
934.0,low_pain
935.0,low_pain
936.0,low_pain
937.0,low_pain
938.0,low_pain
939.0,low_pain
940.0,low_pain
941.0,low_pain
942.0,low_pain
943.0,low_pain
944.0,low_pain
945.0,low_pain
946.0,low_pain
947.0,low_pain
948.0,low_pain
949.0,low_pain
950.0,low_pain
951.0,low_pain
952.0,low_pain
953.0,low_pain
954.0,low_pain
955.0,low_pain
956.0,low_pain
957.0,low_pain
958.0,low_pain
959.0,low_pain
960.0,low_pain
961.0,low_pain
962.0,low_pain
963.0,low_pain
964.0,low_pain
965.0,low_pain
966.0,low_pain
967.0,low_pain
968.0,low_pain
969.0,low_pain
970.0,low_pain
971.0,low_pain
972.0,low_pain
973.0,low_pain
974.0,low_pain
975.0,low_pain
976.0,low_pain
977.0,low_pain
978.0,low_pain
979.0,low_pain
980.0,low_pain
981.0,low_pain
982.0,low_pain
983.0,low_pain
984.0,low_pain
985.0,low_pain
986.0,low_pain
987.0,low_pain
988.0,low_pain
989.0,low_pain
990.0,low_pain
991.0,low_pain
992.0,low_pain
993.0,low_pain
994.0,low_pain
995.0,low_pain
996.0,low_pain
997.0,low_pain
998.0,low_pain
999.0,low_pain
1000.0,low_pain
1001.0,low_pain
1002.0,low_pain
1003.0,low_pain
1004.0,low_pain
1005.0,low_pain
1006.0,low_pain
1007.0,low_pain
1008.0,low_pain
1009.0,low_pain
1010.0,low_pain
1011.0,low_pain
1012.0,low_pain
1013.0,low_pain
1014.0,low_pain
1015.0,low_pain
1016.0,low_pain
1017.0,low_pain
1018.0,low_pain
1019.0,low_pain
1020.0,low_pain
1021.0,low_pain
1022.0,low_pain
1023.0,low_pain
1024.0,low_pain
1025.0,low_pain
1026.0,low_pain
1027.0,low_pain
1028.0,low_pain
1029.0,low_pain
1030.0,low_pain
1031.0,low_pain
1032.0,low_pain
1033.0,low_pain
1034.0,low_pain
1035.0,low_pain
1036.0,low_pain
1037.0,low_pain
1038.0,low_pain
1039.0,low_pain
1040.0,low_pain
1041.0,low_pain
1042.0,low_pain
1043.0,low_pain
1044.0,low_pain
1045.0,low_pain
1046.0,low_pain
1047.0,low_pain
1048.0,low_pain
1049.0,low_pain
1050.0,low_pain
1051.0,low_pain
1052.0,low_pain
1053.0,low_pain
1054.0,low_pain
1055.0,low_pain
1056.0,low_pain
1057.0,low_pain
1058.0,low_pain
1059.0,low_pain
1060.0,low_pain
1061.0,low_pain
1062.0,low_pain
1063.0,low_pain
1064.0,low_pain
1065.0,low_pain
1066.0,low_pain
1067.0,low_pain
1068.0,low_pain
1069.0,low_pain
1070.0,low_pain
1071.0,low_pain
1072.0,low_pain
1073.0,low_pain
1074.0,low_pain
1075.0,low_pain
1076.0,low_pain
1077.0,low_pain
1078.0,low_pain
1079.0,low_pain
1080.0,low_pain
1081.0,low_pain
1082.0,low_pain
1083.0,low_pain
1084.0,low_pain
1085.0,low_pain
1086.0,low_pain
1087.0,low_pain
1088.0,low_pain
1089.0,low_pain
1090.0,low_pain
1091.0,low_pain
1092.0,low_pain
1093.0,low_pain
1094.0,low_pain
1095.0,low_pain
1096.0,low_pain
1097.0,low_pain
1098.0,low_pain
1099.0,low_pain
1100.0,low_pain
1101.0,low_pain
1102.0,low_pain
1103.0,low_pain
1104.0,low_pain
1105.0,low_pain
1106.0,low_pain
1107.0,low_pain
1108.0,low_pain
1109.0,low_pain
1110.0,low_pain
1111.0,low_pain
1112.0,low_pain
1113.0,low_pain
1114.0,low_pain
1115.0,low_pain
1116.0,low_pain
1117.0,low_pain
1118.0,low_pain
1119.0,low_pain
1120.0,low_pain
1121.0,low_pain
1122.0,low_pain
1123.0,low_pain
1124.0,low_pain
1125.0,low_pain
1126.0,low_pain
1127.0,low_pain
1128.0,low_pain
1129.0,low_pain
1130.0,low_pain
1131.0,low_pain
1132.0,low_pain
1133.0,low_pain
1134.0,low_pain
1135.0,low_pain
1136.0,low_pain
1137.0,low_pain
1138.0,low_pain
1139.0,low_pain
1140.0,low_pain
1141.0,low_pain
1142.0,low_pain
1143.0,low_pain
1144.0,low_pain
1145.0,low_pain
1146.0,low_pain
1147.0,low_pain
1148.0,low_pain
1149.0,low_pain
1150.0,low_pain
1151.0,low_pain
1152.0,low_pain
1153.0,low_pain
1154.0,low_pain
1155.0,low_pain
1156.0,low_pain
1157.0,low_pain
1158.0,low_pain
1159.0,low_pain
1160.0,low_pain
1161.0,low_pain
1162.0,low_pain
1163.0,low_pain
1164.0,low_pain
1165.0,low_pain
1166.0,low_pain
1167.0,low_pain
1168.0,low_pain
1169.0,low_pain
1170.0,low_pain
1171.0,low_pain
1172.0,low_pain
1173.0,low_pain
1174.0,low_pain
1175.0,low_pain
1176.0,low_pain
1177.0,low_pain
1178.0,low_pain
1179.0,low_pain
1180.0,low_pain
1181.0,low_pain
1182.0,low_pain
1183.0,low_pain
1184.0,low_pain
1185.0,low_pain
1186.0,low_pain
1187.0,low_pain
1188.0,low_pain
1189.0,low_pain
1190.0,low_pain
1191.0,low_pain
1192.0,low_pain
1193.0,low_pain
1194.0,low_pain
1195.0,low_pain
1196.0,low_pain
1197.0,low_pain
1198.0,low_pain
1199.0,low_pain
1200.0,low_pain
1201.0,low_pain
1202.0,low_pain
1203.0,low_pain
1204.0,low_pain
1205.0,low_pain
1206.0,low_pain
1207.0,low_pain
1208.0,low_pain
1209.0,low_pain
1210.0,low_pain
1211.0,low_pain
1212.0,low_pain
1213.0,low_pain
1214.0,low_pain
1215.0,low_pain
1216.0,low_pain
1217.0,low_pain
1218.0,low_pain
1219.0,low_pain
1220.0,low_pain
1221.0,low_pain
1222.0,low_pain
1223.0,low_pain
1224.0,low_pain
1225.0,low_pain
1226.0,low_pain
1227.0,low_pain
1228.0,low_pain
1229.0,low_pain
1230.0,low_pain
1231.0,low_pain
1232.0,low_pain
1233.0,low_pain
1234.0,low_pain
1235.0,low_pain
1236.0,low_pain
1237.0,low_pain
1238.0,low_pain
1239.0,low_pain
1240.0,low_pain
1241.0,low_pain
1242.0,low_pain
1243.0,low_pain
1244.0,low_pain
1245.0,low_pain
1246.0,low_pain
1247.0,low_pain
1248.0,low_pain
1249.0,low_pain
1250.0,low_pain
1251.0,low_pain
1252.0,low_pain
1253.0,low_pain
1254.0,low_pain
1255.0,low_pain
1256.0,low_pain
1257.0,low_pain
1258.0,low_pain
1259.0,low_pain
1260.0,low_pain
1261.0,low_pain
1262.0,low_pain
1263.0,low_pain
1264.0,low_pain
1265.0,low_pain
1266.0,low_pain
1267.0,low_pain
1268.0,low_pain
1269.0,low_pain
1270.0,low_pain
1271.0,low_pain
1272.0,low_pain
1273.0,low_pain
1274.0,low_pain
1275.0,low_pain
1276.0,low_pain
1277.0,low_pain
1278.0,low_pain
1279.0,low_pain
1280.0,low_pain
1281.0,low_pain
1282.0,low_pain
1283.0,low_pain
1284.0,low_pain
1285.0,low_pain
1286.0,low_pain
1287.0,low_pain
1288.0,low_pain
1289.0,low_pain
1290.0,low_pain
1291.0,low_pain
1292.0,low_pain
1293.0,low_pain
1294.0,low_pain
1295.0,low_pain
1296.0,low_pain
1297.0,low_pain
1298.0,low_pain
1299.0,low_pain
1300.0,low_pain
1301.0,low_pain
1302.0,low_pain
1303.0,low_pain
1304.0,low_pain
1305.0,low_pain
1306.0,low_pain
1307.0,low_pain
1308.0,low_pain
1309.0,low_pain
1310.0,low_pain
1311.0,low_pain
1312.0,low_pain
1313.0,low_pain
1314.0,low_pain
1315.0,low_pain
1316.0,low_pain
1317.0,low_pain
1318.0,low_pain
1319.0,low_pain
1320.0,low_pain
1321.0,low_pain
1322.0,low_pain
1323.0,low_pain
